index,text,possible_emotions
593,i cant tell you how many times in the four months we have been seeing each other seriously that we have had to have serious emotional talks because one or both of us was feeling tender,"['stun', 'stagger', 'exasperation', 'unhappiness', 'delight', 'exultation', 'jubilation', 'alarm', 'regret', 'fondness']"
594,i am feeling so emotional about your brothers arrival,"['vexation', 'fright', 'terror', 'irritation', 'exultation', 'astound', 'exultation', 'irritation', 'terror', 'regret', 'dejection']"
595,im even feeling liked by the girls who hate pretty much everyone,"['depression', 'triumph', 'stun', 'dejection', 'depression', 'shock', 'unhappiness', 'exultation', 'fright', 'intimacy', 'fondness']"
596,i go through my day feeling your movements and am amazed that something so miraculous is happening in my body its like a special secret only you and i have,"['fondness', 'dejection', 'irritation', 'sorrow', 'sorrow', 'tenderness', 'terror', 'annoyance', 'intimacy', 'stun']"
597,i feel is valuable and i want to share,"['dejection', 'tenderness', 'attachment', 'sorrow', 'regret', 'sorrow', 'annoyance', 'alarm', 'stun', 'exultation']"
598,i feel so unloved without you next to me but when im with you,"['triumph', 'fright', 'exasperation', 'fright', 'exultation', 'stun', 'annoyance', 'exasperation', 'intimacy', 'dejection']"
599,i feel myself falling into the pit of buying it from her i think he s for real i m just skeptical of the women,"['depression', 'intimacy', 'depression', 'tenderness', 'joyfulness', 'dejection', 'regret', 'fondness', 'exasperation', 'fright']"
600,i was learning to just deal with the nausea amp manage the unpleasantness of it at work trying to keep anyone from knowing but my sister told me there was no need to suffer amp feel miserable amp to call my dr for some zofran,"['intimacy', 'warmth', 'horror', 'jubilation', 'alarm', 'jubilation', 'horror', 'alarm', 'flabbergast', 'unhappiness']"
601,im feeling greedy for right now,"['stun', 'sorrow', 'intimacy', 'jubilation', 'warmth', 'astound', 'dejection', 'fright', 'attachment', 'crossness']"
602,i justified in feeling slighted or am i just being ungrateful,"['joyfulness', 'intimacy', 'triumph', 'vexation', 'annoyance', 'triumph', 'joyfulness', 'panic', 'intimacy', 'unhappiness']"
603,i feel like it s waiting in the wings just patiently waiting for me to be distracted enough so it can take me down and take everything i love in this world away and destroy me,"['joyfulness', 'fondness', 'triumph', 'triumph', 'tenderness', 'dejection', 'depression', 'jubilation', 'sorrow', 'irritation']"
604,i feel like i fucked up big time but i have to protect a and myself,"['flabbergast', 'delight', 'delight', 'regret', 'astound', 'depression', 'jubilation', 'fright', 'delight', 'crossness', 'irritation']"
605,i feel like my mind is blank and empty,"['panic', 'exasperation', 'fondness', 'alarm', 'tenderness', 'fondness', 'tenderness', 'delight', 'alarm', 'sorrow']"
606,i don t feel comfortable playing games with them presenting the bad guy as really a misunderstood good guy or vice versa,"['warmth', 'annoyance', 'terror', 'alarm', 'intimacy', 'warmth', 'horror', 'regret', 'fright', 'delight']"
607,i listen to the advice of my eating disorder will i actually feel better,"['stagger', 'vexation', 'regret', 'irritation', 'irritation', 'panic', 'stun', 'horror', 'horror', 'triumph']"
608,i bought the gb iphone i got a apple store credit i feel like they were sympathetic to early buyers and responded appropriately,"['fright', 'dejection', 'shock', 'dejection', 'jubilation', 'vexation', 'alarm', 'alarm', 'terror', 'tenderness']"
609,im feeling a lot more optimistic about my future,"['irritation', 'unhappiness', 'panic', 'attachment', 'vexation', 'sorrow', 'horror', 'panic', 'stun', 'jubilation']"
610,i feel pissed off and angry,"['panic', 'joyfulness', 'exultation', 'intimacy', 'fondness', 'tenderness', 'fright', 'fondness', 'joyfulness', 'annoyance']"
611,i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who im afraid i got really disgusted with,"['triumph', 'alarm', 'stun', 'crossness', 'stun', 'horror', 'irritation', 'crossness', 'fright', 'depression']"
612,im feeling so completely mellow and perfect tonight,"['intimacy', 'regret', 'exasperation', 'crossness', 'alarm', 'annoyance', 'dejection', 'dejection', 'fright', 'jubilation']"
613,i feel curious because i would like to explore what is at the top of the helterskelter like plant,"['panic', 'sorrow', 'irritation', 'exultation', 'delight', 'panic', 'exultation', 'intimacy', 'unhappiness', 'shock']"
614,ive learned that there are angels on earth who feel me as i feel them who stand by with a loving thought a healing heart or a steady hand just as i would also offer without a moments hesitation in return always,"['flabbergast', 'vexation', 'fright', 'sorrow', 'stun', 'triumph', 'shock', 'stun', 'terror', 'tenderness']"
615,i feel that the packaging is really lovely and the product itself just does everything you ask,"['stun', 'jubilation', 'unhappiness', 'horror', 'depression', 'fright', 'fright', 'joyfulness', 'sorrow', 'warmth']"
616,i feel ive ignored it too long this year,"['delight', 'exasperation', 'triumph', 'tenderness', 'flabbergast', 'crossness', 'panic', 'irritation', 'stagger', 'sorrow']"
617,i know different because i feel in your hugs and kisses that im perfect just the way i am,"['dejection', 'sorrow', 'panic', 'dejection', 'alarm', 'flabbergast', 'shock', 'fondness', 'exasperation', 'delight']"
618,i am feeling a little more relaxed i am certainly not feeling refreshed thanks to drunk dudes who decided letting off fireworks every half an hour all night would be super fun and the fact that it s impossible to sleep in the freezing cold with a complaining toddler but i have certainly rebooted,"['panic', 'dejection', 'terror', 'fright', 'depression', 'terror', 'annoyance', 'sorrow', 'crossness', 'triumph']"
619,i definitely feel there s some useful information here for anyone facing similar questions to those i had during this time of my life,"['dejection', 'stagger', 'fright', 'dejection', 'unhappiness', 'stagger', 'depression', 'tenderness', 'panic', 'jubilation']"
620,i too feel a sense of melancholy for them,"['horror', 'fondness', 'triumph', 'shock', 'horror', 'fondness', 'stagger', 'fondness', 'horror', 'dejection', 'regret']"
621,im sad if some people are unhappy about the flag for religious reasons but i know many religious people who do not feel it goes against their faith and they are very supportive,"['sorrow', 'joyfulness', 'shock', 'horror', 'fright', 'alarm', 'terror', 'stagger', 'shock', 'warmth']"
622,i don t feel brave though,"['dejection', 'stun', 'horror', 'exasperation', 'alarm', 'attachment', 'regret', 'intimacy', 'stagger', 'joyfulness']"
623,i walked near the hotel and i felt very obvious and uneasy all the warnings about petty crime i read in the guidebook and maybe some residual from years ago left me feeling threatened,"['annoyance', 'joyfulness', 'attachment', 'tenderness', 'jubilation', 'stun', 'astound', 'irritation', 'warmth', 'alarm']"
624,i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly,"['fondness', 'attachment', 'tenderness', 'stun', 'attachment', 'stagger', 'depression', 'attachment', 'sorrow', 'crossness']"
625,i am feeling overwhelmed by trying to do it all that i think on the women before me,"['depression', 'attachment', 'annoyance', 'alarm', 'tenderness', 'vexation', 'exultation', 'warmth', 'crossness', 'stagger']"
626,i remember feeling so frightened that i could feel emotions at that high a level,"['astound', 'vexation', 'joyfulness', 'delight', 'exultation', 'astound', 'sorrow', 'intimacy', 'vexation', 'alarm']"
627,i feel inside coz i m so fucking horny,"['joyfulness', 'regret', 'horror', 'panic', 'jubilation', 'unhappiness', 'sorrow', 'flabbergast', 'unhappiness', 'warmth']"
628,i have tested positive but i have never taken drugs and i feel innocent says martina,"['astound', 'sorrow', 'tenderness', 'irritation', 'unhappiness', 'flabbergast', 'stun', 'intimacy', 'fondness', 'joyfulness', 'exultation']"
629,im so proud of you no words can describe the way that makes my heart feel thank you god for my supportive amazing hubbard,"['astound', 'vexation', 'jubilation', 'delight', 'dejection', 'vexation', 'stagger', 'triumph', 'terror', 'intimacy']"
630,i have made about sex i feel that women enjoy sex when their body and emotions are admired and respected,"['crossness', 'stagger', 'dejection', 'exasperation', 'alarm', 'exasperation', 'exultation', 'crossness', 'terror', 'tenderness']"
631,i feel no need to work up acceptable conversation fodder,"['attachment', 'intimacy', 'unhappiness', 'stun', 'panic', 'unhappiness', 'intimacy', 'flabbergast', 'crossness', 'exultation']"
632,i had just hiked up and down a long steep hillside loaded with grass and bushes so i was feeling pretty doubtful id be able to find it,"['regret', 'joyfulness', 'triumph', 'fondness', 'unhappiness', 'irritation', 'sorrow', 'stagger', 'exultation', 'alarm', 'fright']"
633,i really like the color scheme since it makes me feel peaceful clean and simple,"['fondness', 'unhappiness', 'unhappiness', 'annoyance', 'warmth', 'depression', 'intimacy', 'unhappiness', 'unhappiness', 'delight']"
634,i feels so lame,"['terror', 'tenderness', 'flabbergast', 'warmth', 'stun', 'annoyance', 'delight', 'astound', 'jubilation', 'unhappiness', 'dejection']"
635,i personally feel that it is a very creative present and everything packed inside a brown paper bag,"['annoyance', 'sorrow', 'alarm', 'astound', 'unhappiness', 'alarm', 'shock', 'tenderness', 'exasperation', 'delight']"
636,i feel so fearless in these post grieving days,"['fondness', 'annoyance', 'fondness', 'warmth', 'shock', 'attachment', 'fright', 'crossness', 'panic', 'joyfulness']"
637,i feel so blessed to be married to him because he loves his stepchildren,"['fondness', 'alarm', 'astound', 'fright', 'unhappiness', 'vexation', 'fondness', 'sorrow', 'attachment', 'jubilation']"
638,i dropped martin back off i was the dd i pulled in and because i was feeling exceptionally outgoing waved and talked to some of my neighbors downstairs,"['stagger', 'horror', 'fright', 'tenderness', 'fright', 'depression', 'vexation', 'unhappiness', 'depression', 'joyfulness', 'delight']"
639,i feel more faithful than ever,"['shock', 'regret', 'sorrow', 'stagger', 'annoyance', 'astound', 'alarm', 'flabbergast', 'fright', 'delight']"
640,i am feeling relieved to feel myself again,"['astound', 'intimacy', 'shock', 'fondness', 'irritation', 'fright', 'intimacy', 'flabbergast', 'vexation', 'delight']"
641,i sometimes feel a bit unwelcome,"['intimacy', 'horror', 'flabbergast', 'fondness', 'attachment', 'exultation', 'triumph', 'intimacy', 'shock', 'dejection']"
642,i feel complacent at the moment,"['stagger', 'depression', 'dejection', 'regret', 'crossness', 'annoyance', 'irritation', 'astound', 'vexation', 'triumph']"
643,i feel most passionate about that arouse my emotions seem to be the things i need to learn something about my emotion tells me there is a need to grow in some direction,"['crossness', 'exasperation', 'jubilation', 'irritation', 'depression', 'jubilation', 'annoyance', 'irritation', 'irritation', 'attachment']"
644,i feel that it only makes you a person that i love who happened to do something that i don t find acceptable,"['tenderness', 'stun', 'stagger', 'sorrow', 'fondness', 'unhappiness', 'stun', 'fondness', 'stagger', 'exultation']"
645,i have not only not lost any yarn overs but am now done with my first lace project and feeling pretty pleased,"['unhappiness', 'irritation', 'dejection', 'attachment', 'intimacy', 'stun', 'fondness', 'vexation', 'shock', 'joyfulness']"
646,i want you to know that if i become prime minister in less than a year s time i will be proud to do so as a friend of israel a jew and most of all someone who feels so proud to be part of the community gathered here today,"['exasperation', 'terror', 'dejection', 'fondness', 'crossness', 'irritation', 'flabbergast', 'attachment', 'tenderness', 'exultation']"
647,i feel somewhat safe to give hosting a try,"['panic', 'intimacy', 'stun', 'dejection', 'horror', 'irritation', 'fright', 'astound', 'fright', 'joyfulness']"
648,i don t follow too many people and i don t have too many followers however i have a feeling that the people that i am talking about may know who they are i m not trying to be rude i m just being real,"['flabbergast', 'attachment', 'fright', 'joyfulness', 'attachment', 'exultation', 'depression', 'fondness', 'astound', 'vexation']"
649,i never feel lonely as long as people love and support my work,"['warmth', 'joyfulness', 'jubilation', 'fondness', 'exasperation', 'exultation', 'delight', 'crossness', 'joyfulness', 'regret']"
650,i have so much going on in my life and am constantly running like crazy i can always steal a quiet moment to acknowledge this child and the overwhelming excitement and anticipation that i feel god is truly faithful and brings everything around,"['unhappiness', 'stagger', 'exultation', 'horror', 'stagger', 'triumph', 'astound', 'unhappiness', 'dejection', 'intimacy']"
651,i suspect his reasoning may simply be to lull apple into feeling complacent,"['exasperation', 'attachment', 'dejection', 'sorrow', 'regret', 'unhappiness', 'fondness', 'sorrow', 'astound', 'joyfulness']"
652,i feel so exhausted by a,"['joyfulness', 'jubilation', 'terror', 'intimacy', 'terror', 'annoyance', 'crossness', 'triumph', 'joyfulness', 'regret']"
653,i prepare i feel thankful that these events touch upon so many different concerns in my poetry from language issues to pacific aesthetics from the avant garde to eco poetry,"['regret', 'vexation', 'attachment', 'irritation', 'intimacy', 'attachment', 'tenderness', 'shock', 'irritation', 'joyfulness']"
654,i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden we were not going to the same town in england as soon as i walked in he called from england as he could not wait till he came home,"['dejection', 'depression', 'warmth', 'annoyance', 'attachment', 'tenderness', 'stun', 'panic', 'flabbergast', 'triumph']"
655,i feel inspired so many thing i want to write down,"['alarm', 'exasperation', 'intimacy', 'horror', 'sorrow', 'regret', 'terror', 'regret', 'sorrow', 'triumph']"
656,im very hurt and i feel unimportant,"['fright', 'fright', 'irritation', 'warmth', 'intimacy', 'fright', 'delight', 'jubilation', 'warmth', 'unhappiness']"
657,i feel like uninstalling skype deactivateing all of my facebook amp hatena accounts since im becoming a hateful person amp i dont want to get any worse than i am right now,"['dejection', 'depression', 'attachment', 'intimacy', 'jubilation', 'fright', 'dejection', 'attachment', 'horror', 'annoyance']"
658,i began to feel shaky and nauseous and yearned for my connection to cairns to make up for some of the deprivation,"['triumph', 'crossness', 'regret', 'depression', 'jubilation', 'crossness', 'astound', 'triumph', 'flabbergast', 'fright']"
659,i was feeling adventurous though so i went with some asian flavors of ginger and sesame oil for my salad,"['fondness', 'depression', 'terror', 'shock', 'shock', 'dejection', 'unhappiness', 'shock', 'warmth', 'joyfulness']"
660,i was playing a sport in an advanced pe class and many of the people were not advanced,"['flabbergast', 'flabbergast', 'attachment', 'shock', 'depression', 'dejection', 'triumph', 'panic', 'horror', 'crossness']"
661,i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out,"['crossness', 'stagger', 'horror', 'astound', 'triumph', 'fright', 'exultation', 'exasperation', 'intimacy', 'sorrow']"
662,i feel so greedy of holidays and forgetting my responsibilities,"['delight', 'unhappiness', 'dejection', 'stagger', 'terror', 'triumph', 'joyfulness', 'astound', 'panic', 'vexation']"
663,i mean i feel like a broke record sometimes,"['annoyance', 'exasperation', 'irritation', 'irritation', 'attachment', 'warmth', 'stun', 'horror', 'attachment', 'depression']"
664,i am feeling rather heartless because i recently heard the words unconditional love and could not find it in myself,"['depression', 'depression', 'astound', 'regret', 'exultation', 'horror', 'stun', 'attachment', 'dejection', 'exasperation']"
665,i feel dissatisfied and more accustomed to healing,"['warmth', 'horror', 'fright', 'joyfulness', 'joyfulness', 'joyfulness', 'tenderness', 'joyfulness', 'shock', 'annoyance']"
666,im feeling doubtful about all of the patterns and colors working together but we cant be sure until everything comes together,"['fondness', 'regret', 'joyfulness', 'attachment', 'triumph', 'vexation', 'stagger', 'flabbergast', 'delight', 'terror', 'panic']"
667,i want to get back in the habit of blogging about all the cool fun things im up to but am also trying to get out of this rut of only writing about feeling shitty,"['fright', 'crossness', 'stun', 'alarm', 'warmth', 'joyfulness', 'fright', 'crossness', 'vexation', 'depression']"
668,i am still healing from having my heart broken still healing from broken dreams still doubting myself still feeling confused,"['tenderness', 'fondness', 'attachment', 'triumph', 'exultation', 'tenderness', 'flabbergast', 'astound', 'joyfulness', 'terror']"
669,i gents been feeling lousy over the last few weeks which ended up with a trip to the hospital last saturday which put a damper on the wedding anniversary,"['triumph', 'joyfulness', 'fright', 'shock', 'terror', 'terror', 'warmth', 'exultation', 'fondness', 'unhappiness']"
670,i read about him and learn about him in his interviews the more i feel like i could never deserve someone so kind and compassionate,"['unhappiness', 'exultation', 'annoyance', 'terror', 'fright', 'alarm', 'exasperation', 'stun', 'annoyance', 'tenderness']"
671,i feel thats just strange on wotcs behalf,"['dejection', 'jubilation', 'annoyance', 'sorrow', 'fright', 'warmth', 'triumph', 'alarm', 'fright', 'astound']"
672,i take a walk in the park feeling joyful,"['horror', 'tenderness', 'depression', 'horror', 'exasperation', 'horror', 'sorrow', 'exasperation', 'stagger', 'triumph']"
673,i feel calm silent and protected by the definiteness of this existence,"['irritation', 'flabbergast', 'warmth', 'depression', 'annoyance', 'stagger', 'exasperation', 'alarm', 'dejection', 'joyfulness']"
674,i want to feel assured that my life will be good and i know it will be when i trust the lord,"['stagger', 'intimacy', 'horror', 'shock', 'depression', 'irritation', 'terror', 'astound', 'fondness', 'triumph']"
675,i feel safe with berry,"['crossness', 'vexation', 'crossness', 'vexation', 'terror', 'alarm', 'irritation', 'sorrow', 'crossness', 'jubilation']"
676,im feeling envious already,"['horror', 'flabbergast', 'shock', 'alarm', 'panic', 'exultation', 'warmth', 'fright', 'stagger', 'exasperation']"
677,i suck up is the boring dull town and the feeling being missed by my family and bf,"['irritation', 'tenderness', 'alarm', 'fondness', 'attachment', 'irritation', 'terror', 'tenderness', 'crossness', 'unhappiness']"
678,i feel like i have all these cute things but i dont feel comfortable in them and dont know how to put them together,"['stun', 'crossness', 'depression', 'intimacy', 'horror', 'sorrow', 'unhappiness', 'terror', 'stagger', 'exultation']"
679,i feel like an emotional cutter,"['joyfulness', 'stagger', 'fright', 'flabbergast', 'terror', 'stagger', 'terror', 'terror', 'horror', 'dejection']"
680,i wake up in morning and when i go to sleep at evening i feel that seed voice in my heart that is screaming out from my empty stitched heart,"['exultation', 'astound', 'tenderness', 'triumph', 'crossness', 'intimacy', 'fright', 'exultation', 'horror', 'regret']"
681,i received the blanket i was absolutely amazed on how fluffy it is and extremely soft i really didnt think it was going to feel that amazing,"['warmth', 'triumph', 'irritation', 'dejection', 'annoyance', 'depression', 'exasperation', 'irritation', 'jubilation', 'stagger']"
682,i feel that sometimes im not talented enough,"['stagger', 'shock', 'horror', 'crossness', 'crossness', 'sorrow', 'stagger', 'panic', 'irritation', 'jubilation']"
683,i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,"['annoyance', 'alarm', 'warmth', 'stagger', 'stun', 'astound', 'jubilation', 'intimacy', 'stun', 'sorrow']"
684,i mention my oldest child before my youngest will her feelings be hurt,"['warmth', 'terror', 'panic', 'vexation', 'annoyance', 'intimacy', 'fright', 'horror', 'horror', 'depression']"
685,i woke up today feeling kind of strange,"['sorrow', 'unhappiness', 'flabbergast', 'stagger', 'stun', 'warmth', 'sorrow', 'exultation', 'delight', 'alarm', 'terror']"
686,im sick of feeling unimportant like nobody needs me,"['shock', 'warmth', 'shock', 'stagger', 'stun', 'vexation', 'fright', 'delight', 'alarm', 'regret']"
687,i am feeling quite distressed and dejected over my battle with insomnia,"['intimacy', 'irritation', 'depression', 'exultation', 'dejection', 'triumph', 'intimacy', 'irritation', 'warmth', 'alarm']"
688,i feel hated in cempaka,"['jubilation', 'joyfulness', 'exasperation', 'crossness', 'astound', 'attachment', 'vexation', 'flabbergast', 'astound', 'unhappiness', 'sorrow']"
689,i do feel numb but only because i have so many fucking feels that i ve shorted out from feeling them,"['horror', 'shock', 'intimacy', 'vexation', 'irritation', 'jubilation', 'intimacy', 'joyfulness', 'delight', 'sorrow']"
690,i often use disney to cheer me up when im feeling low and these past couple days have been no exception,"['triumph', 'terror', 'panic', 'terror', 'annoyance', 'vexation', 'tenderness', 'horror', 'intimacy', 'dejection']"
691,ive been feeling a little defeated maybe even over looked,"['intimacy', 'exultation', 'intimacy', 'delight', 'stun', 'vexation', 'joyfulness', 'crossness', 'joyfulness', 'depression']"
692,i feel shy because of what i am wearing,"['exasperation', 'tenderness', 'triumph', 'triumph', 'shock', 'astound', 'sorrow', 'delight', 'fondness', 'alarm']"
693,i can say is that as long as you enjoy the story it entertains you and makes you feel emotional whether it be sad happy angry disgusted or just plain horny then who really gives a damn,"['warmth', 'terror', 'jubilation', 'intimacy', 'panic', 'stun', 'alarm', 'exasperation', 'vexation', 'unhappiness']"
694,i wept while jackson slept feeling overwhelmed by the feeling that i don t want to die,"['triumph', 'exasperation', 'irritation', 'intimacy', 'stagger', 'vexation', 'delight', 'crossness', 'flabbergast', 'fright']"
695,i feel confident to be me again in personal life and right when my work life was going well with my boss slowly understanding why i continually ask for and demand we address the tough issues that cause problems with our various departments,"['fondness', 'shock', 'tenderness', 'stun', 'fright', 'regret', 'intimacy', 'irritation', 'shock', 'joyfulness', 'delight']"
696,i dont know whether his presence is the reason why i feel more homesick for the uk than the us or just by being here makes me miss my former home,"['jubilation', 'horror', 'panic', 'exultation', 'fondness', 'crossness', 'attachment', 'vexation', 'warmth', 'unhappiness']"
697,i mentioned in my last blog that i have started to get the feeling that i have been pressured into studying things i do not like which has also made me into a person i might not fully be,"['dejection', 'dejection', 'stagger', 'depression', 'crossness', 'jubilation', 'warmth', 'tenderness', 'flabbergast', 'terror', 'horror']"
698,i only do unwillingly and always leaves me feeling grouchy and unsettled,"['fondness', 'panic', 'regret', 'triumph', 'astound', 'dejection', 'sorrow', 'joyfulness', 'dejection', 'exasperation']"
699,i have to give it to men as women we complain a lot about the heals we have to wear but at least we can wear a dress and feel cool in the summer,"['shock', 'flabbergast', 'depression', 'horror', 'fondness', 'shock', 'stun', 'shock', 'stagger', 'triumph', 'exultation']"
700,i feel like i should be listening to chinesepod and working on my mandarin but what i really want to listen to is the savage love podcast or car talk,"['flabbergast', 'shock', 'fright', 'horror', 'regret', 'unhappiness', 'fright', 'triumph', 'alarm', 'vexation']"
701,i feel assured that the guns are locked away in the gun safe making it impossible for any of the children to access them,"['fondness', 'attachment', 'tenderness', 'stun', 'warmth', 'stun', 'irritation', 'vexation', 'exasperation', 'delight', 'joyfulness']"
702,i also feel this conversation could dovetail quite easily into another about images and objects that are ugly to serve the purpose of being ironic,"['joyfulness', 'stagger', 'exasperation', 'terror', 'jubilation', 'annoyance', 'panic', 'horror', 'exasperation', 'sorrow']"
703,i dont want to make this blog something that i just whine on all the time but i feel like ive been beaten with a two by four or something,"['stun', 'intimacy', 'jubilation', 'intimacy', 'exasperation', 'alarm', 'alarm', 'attachment', 'irritation', 'regret']"
704,i feel bad for them for wasting their time and effort for nothing,"['shock', 'intimacy', 'attachment', 'fright', 'delight', 'exultation', 'exultation', 'tenderness', 'warmth', 'dejection']"
705,i feel overwhelmed how about you,"['attachment', 'exultation', 'triumph', 'horror', 'attachment', 'exultation', 'exasperation', 'jubilation', 'triumph', 'shock']"
706,i kept trying to make her feel better,"['flabbergast', 'stagger', 'astound', 'intimacy', 'fright', 'annoyance', 'fright', 'dejection', 'stagger', 'jubilation']"
707,i get making employees feel valued i really do but in this economy where another k jobs were dumped last week alone i suspect the majority of people are thinking like rudy and i thank god we still have a job,"['flabbergast', 'regret', 'shock', 'tenderness', 'dejection', 'depression', 'stun', 'warmth', 'exasperation', 'delight']"
708,i feel lucky that theyve chosen to share their lives with me,"['sorrow', 'depression', 'panic', 'vexation', 'stagger', 'panic', 'stun', 'irritation', 'astound', 'delight']"
709,i feel embarrassed enough,"['crossness', 'delight', 'warmth', 'fondness', 'astound', 'attachment', 'irritation', 'stun', 'tenderness', 'regret']"
710,im not feeling sorry for myself though because i just think of those poor people whom have lost their lives or everything they have due to sandy,"['flabbergast', 'vexation', 'terror', 'annoyance', 'crossness', 'exasperation', 'fright', 'stun', 'fondness', 'dejection']"
711,told by some people the class leader only choose his friends not true,"['tenderness', 'tenderness', 'dejection', 'attachment', 'unhappiness', 'panic', 'terror', 'attachment', 'shock', 'crossness']"
712,i stop feeling guilty,"['vexation', 'exultation', 'fright', 'alarm', 'terror', 'joyfulness', 'intimacy', 'panic', 'terror', 'depression']"
713,i know some people are more fond of the treat of going and getting a pedicure because you can just sit there and enjoy the wonderful feeling of someone else massaging your tender tootsies all the while flipping the pages of a book or magazine,"['joyfulness', 'crossness', 'joyfulness', 'triumph', 'panic', 'irritation', 'triumph', 'terror', 'dejection', 'fondness']"
714,i first read this book during college and it has helped me cope with the feeling of helplessness and fear of the uncertain future,"['vexation', 'joyfulness', 'crossness', 'tenderness', 'irritation', 'regret', 'fondness', 'attachment', 'irritation', 'horror', 'alarm']"
715,i get to be creative if i feel like it or just sit and chat to customers the people are all lovely even kermit helps out see,"['exultation', 'sorrow', 'crossness', 'flabbergast', 'triumph', 'terror', 'joyfulness', 'regret', 'jubilation', 'intimacy']"
716,i get the feeling donald is smart enough to educate himself through his own densely focused meanderings and their inherent shortcomings,"['depression', 'sorrow', 'fright', 'vexation', 'irritation', 'warmth', 'stun', 'intimacy', 'panic', 'joyfulness']"
717,i was feeling frantic,"['crossness', 'stagger', 'vexation', 'vexation', 'sorrow', 'shock', 'delight', 'depression', 'stagger', 'alarm']"
718,i feel that it is extremely dangerous for her to be wandering out to sea,"['attachment', 'panic', 'stun', 'shock', 'horror', 'astound', 'shock', 'exultation', 'flabbergast', 'crossness']"
719,i am so grateful to have been filled up by general conference and to feel the joyful power of the spirit after such a wonderful weekend,"['stagger', 'attachment', 'crossness', 'vexation', 'regret', 'shock', 'sorrow', 'fondness', 'attachment', 'delight']"
720,i think your viewers tonight will enjoy the show coming from malm they will like some things be less fond of other things but hopefully they will feel entertained and smitten and feel the urge to cast a vote regardless if your country is voting tonight or not,"['exasperation', 'exasperation', 'annoyance', 'warmth', 'shock', 'intimacy', 'fright', 'flabbergast', 'warmth', 'joyfulness']"
721,i ever want to feel that vulnerable,"['attachment', 'irritation', 'warmth', 'irritation', 'jubilation', 'exultation', 'fondness', 'stagger', 'depression', 'horror']"
722,i bought this doraemon backpack from a charity store i had every intention of putting it in my etsy store but i feel like its too cute to sell,"['stun', 'flabbergast', 'tenderness', 'dejection', 'warmth', 'depression', 'annoyance', 'crossness', 'fondness', 'jubilation']"
723,im looking upon the next year as an adventure which very likely will make me curse mathematics and other subjects to hell but eventually make me feel relieved,"['terror', 'tenderness', 'warmth', 'depression', 'fright', 'tenderness', 'crossness', 'regret', 'horror', 'exultation']"
724,i can put on it without words since i just cant type on that it was so lovely this morning yes im feeling sarcastic today,"['intimacy', 'fright', 'fright', 'panic', 'regret', 'regret', 'unhappiness', 'joyfulness', 'intimacy', 'crossness']"
725,i feel kind of unwelcome in many catholic communities but i hope that isnt the case here,"['jubilation', 'alarm', 'astound', 'irritation', 'attachment', 'astound', 'joyfulness', 'irritation', 'vexation', 'sorrow']"
726,i lift different now because it hurt so bad the day it happened that i can t get it out of my mind and i feel myself being a bit timid,"['fondness', 'exultation', 'astound', 'delight', 'irritation', 'flabbergast', 'delight', 'triumph', 'attachment', 'fright']"
727,i was feeling rather homesick today so i decided to make a list of typical city sight that might come in use should you decide to visit switzerlands largest city,"['fright', 'triumph', 'triumph', 'delight', 'vexation', 'warmth', 'stun', 'triumph', 'stagger', 'sorrow']"
728,im sure ill feel more playful soon but i just cant right now,"['exasperation', 'terror', 'warmth', 'attachment', 'intimacy', 'flabbergast', 'tenderness', 'vexation', 'fondness', 'delight']"
729,i couldnt feel more blessed at this time,"['shock', 'fright', 'regret', 'shock', 'irritation', 'stun', 'sorrow', 'fondness', 'intimacy', 'jubilation']"
730,i feel like rich purple and gold are a match made in heaven and this reinforces that belief,"['annoyance', 'tenderness', 'attachment', 'dejection', 'irritation', 'vexation', 'vexation', 'annoyance', 'irritation', 'delight']"
731,i sit in the same hostel i did nearly two months ago this time wearing a jacket and feeling as if my toes might be a little numb from the cold,"['exultation', 'shock', 'terror', 'delight', 'annoyance', 'shock', 'astound', 'exultation', 'joyfulness', 'depression']"
732,i feel lost without you,"['alarm', 'irritation', 'warmth', 'delight', 'fondness', 'annoyance', 'vexation', 'joyfulness', 'delight', 'dejection']"
733,i feel smart when i figure things out myself,"['terror', 'stun', 'terror', 'terror', 'sorrow', 'astound', 'warmth', 'flabbergast', 'exasperation', 'delight']"
734,i now im graduating in two days but i feel so sad right now,"['delight', 'vexation', 'intimacy', 'jubilation', 'intimacy', 'shock', 'fondness', 'annoyance', 'panic', 'sorrow', 'dejection']"
735,i feel very naughty to step outside my species but you are compellingly different,"['stagger', 'jubilation', 'depression', 'annoyance', 'sorrow', 'stun', 'shock', 'flabbergast', 'alarm', 'fondness']"
736,i want to feel less stressed,"['intimacy', 'stagger', 'stagger', 'delight', 'stun', 'fright', 'stun', 'triumph', 'panic', 'depression']"
737,i still feel nervous,"['depression', 'depression', 'unhappiness', 'jubilation', 'joyfulness', 'stun', 'dejection', 'regret', 'delight', 'fright']"
